chickID,name,dob,female,diet
1,AL,05/01/2019,FALSE,1
2,AK,04/01/2019,FALSE,1
3,AZ,01/01/2019,TRUE,1
4,AR,05/01/2019,TRUE,1
5,CA,02/01/2019,TRUE,1
6,CO,04/01/2019,FALSE,1
7,CT,02/01/2019,FALSE,1
8,DE,03/01/2019,TRUE,1
9,FL,05/01/2019,FALSE,1
10,GA,01/01/2019,FALSE,1
11,HI,02/01/2019,TRUE,1
12,ID,04/01/2019,TRUE,1
13,IL,01/01/2019,TRUE,1
14,IN,02/01/2019,TRUE,1
15,IA,02/01/2019,FALSE,1
16,KS,04/01/2019,FALSE,1
17,KY,04/01/2019,FALSE,1
18,LA,02/01/2019,FALSE,1
19,ME,03/01/2019,FALSE,1
20,MD,01/01/2019,TRUE,1
21,MA,01/01/2019,TRUE,2
22,MI,05/01/2019,TRUE,2
23,MN,05/01/2019,FALSE,2
24,MS,04/01/2019,TRUE,2
25,MO,05/01/2019,FALSE,2
26,MT,01/01/2019,TRUE,2
27,NE,05/01/2019,TRUE,2
28,NV,03/01/2019,FALSE,2
29,NH,03/01/2019,TRUE,2
30,NJ,05/01/2019,FALSE,2
31,NM,03/01/2019,TRUE,3
32,NY,03/01/2019,FALSE,3
33,NC,01/01/2019,FALSE,3
34,ND,05/01/2019,TRUE,3
35,OH,01/01/2019,FALSE,3
36,OK,03/01/2019,TRUE,3
37,OR,02/01/2019,FALSE,3
38,PA,02/01/2019,TRUE,3
39,RI,04/01/2019,FALSE,3
40,SC,01/01/2019,TRUE,3
41,SD,04/01/2019,TRUE,4
42,TN,01/01/2019,TRUE,4
43,TX,03/01/2019,TRUE,4
44,UT,02/01/2019,FALSE,4
45,VT,03/01/2019,TRUE,4
46,VA,05/01/2019,FALSE,4
47,WA,03/01/2019,TRUE,4
48,WV,04/01/2019,FALSE,4
49,WI,04/01/2019,FALSE,4
50,WY,02/01/2019,FALSE,4
